Nama,Child,P.Point Aktif,Loket PC Aktif,Loket HP Aktif,Loket SMS Aktif,Jumlah BPJS Kesehatan,Rupiah BPJS Kesehatan,Jumlah Asuransi,Rupiah Asuransi,Jumlah Al Ijarah Finance,Rupiah Al Ijarah Finance,Jumlah BAF,Rupiah BAF,Jumlah Bima,Rupiah Bima,Jumlah Columbia Finance,Rupiah Columbia Finance,Jumlah FIF,Rupiah FIF,Jumlah Mega Auto Finance,Rupiah Mega Auto Finance,Jumlah Mega Central Finance,Rupiah Mega Central Finance,Jumlah Mega Finance,Rupiah Mega Finance,Jumlah MPM,Rupiah MPM,Jumlah OTO,Rupiah OTO,Jumlah Radana,Rupiah Radana,Jumlah WOM,Rupiah WOM,Jumlah Finance,Rupiah Finance,Jumlah Laku Pandai,Rupiah Laku Pandai,Jumlah Laku Pandai,Rupiah Laku Pandai,Jumlah Samsat Jatim,Rupiah Samsat Jatim,Jumlah Pajak,Rupiah Pajak,Jumlah PDAM Aetra Kota Jakarta,Rupiah PDAM Aetra Kota Jakarta,Jumlah PDAM Kab Aceh Barat,Rupiah PDAM Kab Aceh Barat,Jumlah PDAM Kab Aceh Besar,Rupiah PDAM Kab Aceh Besar,Jumlah PDAM Kab Aceh Tamiang,Rupiah PDAM Kab Aceh Tamiang,Jumlah PDAM Kab Aceh Timur,Rupiah PDAM Kab Aceh Timur,Jumlah PDAM Kab Aceh Utara,Rupiah PDAM Kab Aceh Utara,Jumlah PDAM Kab Badung,Rupiah PDAM Kab Badung,Jumlah PDAM Kab Bandung,Rupiah PDAM Kab Bandung,Jumlah PDAM Kab Bandung Barat,Rupiah PDAM Kab Bandung Barat,Jumlah PDAM Kab Bangkalan,Rupiah PDAM Kab Bangkalan,Jumlah PDAM Kab Bangli,Rupiah PDAM Kab Bangli,Jumlah PDAM Kab Banyumas,Rupiah PDAM Kab Banyumas,Jumlah PDAM Kab Banyuwangi,Rupiah PDAM Kab Banyuwangi,Jumlah PDAM Kab Barru,Rupiah PDAM Kab Barru,Jumlah PDAM Kab Bekasi,Rupiah PDAM Kab Bekasi,Jumlah PDAM Kab Blitar,Rupiah PDAM Kab Blitar,Jumlah PDAM Kab Bogor,Rupiah PDAM Kab Bogor,Jumlah PDAM Kab Bondowoso,Rupiah PDAM Kab Bondowoso,Jumlah PDAM Kab Bone,Rupiah PDAM Kab Bone,Jumlah PDAM Kab Bone Bolango,Rupiah PDAM Kab Bone Bolango,Jumlah PDAM Kab Ciamis,Rupiah PDAM Kab Ciamis,Jumlah PDAM Kab Cianjur,Rupiah PDAM Kab Cianjur,Jumlah PDAM Kab Cianjur Non Air,Rupiah PDAM Kab Cianjur Non Air,Jumlah PDAM Kab Cilacap,Rupiah PDAM Kab Cilacap,Jumlah PDAM Kab Cirebon,Rupiah PDAM Kab Cirebon,Jumlah PDAM Kab Donggala,Rupiah PDAM Kab Donggala,Jumlah PDAM Kab Garut,Rupiah PDAM Kab Garut,Jumlah PDAM Kab Gorontalo,Rupiah PDAM Kab Gorontalo,Jumlah PDAM Kab Gowa,Rupiah PDAM Kab Gowa,Jumlah PDAM Kab Gresik,Rupiah PDAM Kab Gresik,Jumlah PDAM Kab Indramayu,Rupiah PDAM Kab Indramayu,Jumlah PDAM Kab Jember,Rupiah PDAM Kab Jember,Jumlah PDAM Kab Jombang,Rupiah PDAM Kab Jombang,Jumlah PDAM Kab Kapuas Hulu,Rupiah PDAM Kab Kapuas Hulu,Jumlah PDAM Kab Karawang,Rupiah PDAM Kab Karawang,Jumlah PDAM Kab Kediri,Rupiah PDAM Kab Kediri,Jumlah PDAM Kab Klaten,Rupiah PDAM Kab Klaten,Jumlah PDAM Kab Kudus,Rupiah PDAM Kab Kudus,Jumlah PDAM Kab Kulon Progo,Rupiah PDAM Kab Kulon Progo,Jumlah PDAM Kab Kuningan,Rupiah PDAM Kab Kuningan,Jumlah PDAM Kab Kupang,Rupiah PDAM Kab Kupang,Jumlah PDAM Kab Lamongan,Rupiah PDAM Kab Lamongan,Jumlah PDAM Kab Lebak,Rupiah PDAM Kab Lebak,Jumlah PDAM Kab Lombok Tengah,Rupiah PDAM Kab Lombok Tengah,Jumlah PDAM Kab Lumajang,Rupiah PDAM Kab Lumajang,Jumlah PDAM Kab Luwu,Rupiah PDAM Kab Luwu,Jumlah PDAM Kab Madiun,Rupiah PDAM Kab Madiun,Jumlah PDAM Kab Magetan,Rupiah PDAM Kab Magetan,Jumlah PDAM Kab Malang,Rupiah PDAM Kab Malang,Jumlah PDAM Kab Maros,Rupiah PDAM Kab Maros,Jumlah PDAM Kab Mempawah,Rupiah PDAM Kab Mempawah,Jumlah PDAM Kab Mojokerto,Rupiah PDAM Kab Mojokerto,Jumlah PDAM Kab Nganjuk,Rupiah PDAM Kab Nganjuk,Jumlah PDAM Kab Ngawi,Rupiah PDAM Kab Ngawi,Jumlah PDAM Kab Pamekasan,Rupiah PDAM Kab Pamekasan,Jumlah PDAM Kab Pasuruan,Rupiah PDAM Kab Pasuruan,Jumlah PDAM Kab Pati,Rupiah PDAM Kab Pati,Jumlah PDAM Kab Pidie,Rupiah PDAM Kab Pidie,Jumlah PDAM Kab Pinrang,Rupiah PDAM Kab Pinrang,Jumlah PDAM Kab Polewali Mandar,Rupiah PDAM Kab Polewali Mandar,Jumlah PDAM Kab Ponorogo,Rupiah PDAM Kab Ponorogo,Jumlah PDAM Kab Probolinggo,Rupiah PDAM Kab Probolinggo,Jumlah PDAM Kab Purbalingga,Rupiah PDAM Kab Purbalingga,Jumlah PDAM Kab Purwakarta,Rupiah PDAM Kab Purwakarta,Jumlah PDAM Kab Rembang,Rupiah PDAM Kab Rembang,Jumlah PDAM Kab Serang,Rupiah PDAM Kab Serang,Jumlah PDAM Kab Sidoarjo,Rupiah PDAM Kab Sidoarjo,Jumlah PDAM Kab Sinjai,Rupiah PDAM Kab Sinjai,Jumlah PDAM Kab Situbondo,Rupiah PDAM Kab Situbondo,Jumlah PDAM Kab Sragen,Rupiah PDAM Kab Sragen,Jumlah PDAM Kab Subang,Rupiah PDAM Kab Subang,Jumlah PDAM Kab Sukabumi,Rupiah PDAM Kab Sukabumi,Jumlah PDAM Kab Sumedang,Rupiah PDAM Kab Sumedang,Jumlah PDAM Kab Tabalong,Rupiah PDAM Kab Tabalong,Jumlah PDAM Kab Takalar,Rupiah PDAM Kab Takalar,Jumlah PDAM Kab Temanggung,Rupiah PDAM Kab Temanggung,Jumlah PDAM Kab Tenggarong,Rupiah PDAM Kab Tenggarong,Jumlah PDAM Kab Tuban,Rupiah PDAM Kab Tuban,Jumlah PDAM Kab Tulungagung,Rupiah PDAM Kab Tulungagung,Jumlah PDAM Kota Balikpapan,Rupiah PDAM Kota Balikpapan,Jumlah PDAM Kota Banda Aceh,Rupiah PDAM Kota Banda Aceh,Jumlah PDAM Kota Bandar Lampung,Rupiah PDAM Kota Bandar Lampung,Jumlah PDAM Kota Bandung,Rupiah PDAM Kota Bandung,Jumlah PDAM Kota Banjarbaru,Rupiah PDAM Kota Banjarbaru,Jumlah PDAM Kota Banjarmasin,Rupiah PDAM Kota Banjarmasin,Jumlah PDAM Kota Batu,Rupiah PDAM Kota Batu,Jumlah PDAM Kota Bitung,Rupiah PDAM Kota Bitung,Jumlah PDAM Kota Blitar,Rupiah PDAM Kota Blitar,Jumlah PDAM Kota Bogor,Rupiah PDAM Kota Bogor,Jumlah PDAM Kota Cirebon,Rupiah PDAM Kota Cirebon,Jumlah PDAM Kota Denpasar,Rupiah PDAM Kota Denpasar,Jumlah PDAM Kota Depok,Rupiah PDAM Kota Depok,Jumlah PDAM Kota Gorontalo,Rupiah PDAM Kota Gorontalo,Jumlah PDAM Kota Jambi,Rupiah PDAM Kota Jambi,Jumlah PDAM Kota Kupang,Rupiah PDAM Kota Kupang,Jumlah PDAM Kota Langsa,Rupiah PDAM Kota Langsa,Jumlah PDAM Kota Madiun,Rupiah PDAM Kota Madiun,Jumlah PDAM Kota Magelang,Rupiah PDAM Kota Magelang,Jumlah PDAM Kota Makassar,Rupiah PDAM Kota Makassar,Jumlah PDAM Kota Malang,Rupiah PDAM Kota Malang,Jumlah PDAM Kota Mataram,Rupiah PDAM Kota Mataram,Jumlah PDAM Kota Medan,Rupiah PDAM Kota Medan,Jumlah PDAM Kota Mojokerto,Rupiah PDAM Kota Mojokerto,Jumlah PDAM Kota Padang,Rupiah PDAM Kota Padang,Jumlah PDAM Kota Palembang,Rupiah PDAM Kota Palembang,Jumlah PDAM Kota Palopo,Rupiah PDAM Kota Palopo,Jumlah PDAM Kota Palu,Rupiah PDAM Kota Palu,Jumlah PDAM Kota Parepare,Rupiah PDAM Kota Parepare,Jumlah PDAM Kota Pontianak,Rupiah PDAM Kota Pontianak,Jumlah PDAM Kota Probolinggo,Rupiah PDAM Kota Probolinggo,Jumlah PDAM Kota Samarinda,Rupiah PDAM Kota Samarinda,Jumlah PDAM Kota Sukabumi,Rupiah PDAM Kota Sukabumi,Jumlah PDAM Kota Surabaya,Rupiah PDAM Kota Surabaya,Jumlah PDAM Kota Surakarta,Rupiah PDAM Kota Surakarta,Jumlah PDAM Kota Tasikmalaya,Rupiah PDAM Kota Tasikmalaya,Jumlah PDAM Palyja Kota Jakarta,Rupiah PDAM Palyja Kota Jakarta,Jumlah PDAM,Rupiah PDAM,Jumlah PLN Paskabayar,Rupiah PLN Paskabayar,Jumlah PLN Prabayar,Rupiah PLN Prabayar,Jumlah PLN Nontaglis,Rupiah PLN Nontaglis,Jumlah PLN,Rupiah PLN,Jumlah Pulsa Elektrik,Rupiah Pulsa Elektrik,Jumlah Pulsa,Rupiah Pulsa,Jumlah Smartfren Paskabayar,Rupiah Smartfren Paskabayar,Jumlah Telkom Pay,Rupiah Telkom Pay,Jumlah Telkomsel Paskabayar,Rupiah Telkomsel Paskabayar,Jumlah Telco,Rupiah Telco,Jumlah Airasia,Rupiah Airasia,Jumlah Citilink,Rupiah Citilink,Jumlah Jetstar,Rupiah Jetstar,Jumlah Kereta Api,Rupiah Kereta Api,Jumlah Travel,Rupiah Travel,Jumlah Genflix TV,Rupiah Genflix TV,Jumlah KVision,Rupiah KVision,Jumlah MNC / Indovision,Rupiah MNC / Indovision,Jumlah NexMedia,Rupiah NexMedia,Jumlah Orange TV,Rupiah Orange TV,Jumlah Topas Tv,Rupiah Topas Tv,Jumlah TV Berlangganan,Rupiah TV Berlangganan,Jumlah Total Semua,Rupiah Total Semua
,pp12011GOLI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,pp12011GOLI02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ow12001ETTY01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,pp12001ETTY01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OwSOPAN,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2017902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2017902,32,5915220,1,52500,0,0,33,5967720,3,40750,3,40750,0,0,1,118000,0,0,1,118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8144372
,pp12012SOPAN01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,266856,0,0,0,0,3,266856,1,10300,1,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,277156
,pp12012SOPAN02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,pp12202SOPAN03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1453298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1453298,15,2393958,0,0,0,0,15,2393958,1,10350,1,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3857606
,pp12202SOPAN04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,564604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,564604,5,1474718,1,52500,0,0,6,1527218,0,0,0,0,0,0,1,118000,0,0,1,118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2209822
,pp12202SOPAN05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ppL12012SOPAN06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1779688,0,0,0,0,9,1779688,1,20100,1,20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1799788
OwLUFI,,11,11,0,0,2,311000,2,311000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,8836092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,8836092,222,49087619,6,225000,0,0,228,49312619,11,129425,11,129425,0,0,3,985060,1,195511,4,1180571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,59769707
,pp12013LUFI05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8500,1,57822,1,52500,0,0,2,110322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,118822
